filename,data
img_1_1.jpg,APRL_001,Women's Kurta Set,traditional,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Woven pattern",Female,"Pink, White",Full sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
img_1_2.jpg,APRL_001,Embellished Velvet Caftan Robe,traditional,Adults,L,Velvet,Mid-Range,Full wear,"Soft, Plush Velvet, Sparkling Embellishments",Female,Green,Full sleeves,"Party, Formal, Festive, Special Occasion","pear, apple, inverted triangle, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_211.jpg,APRL_001,Abaya with Hijab,Full Abaya with Hijab,N/A,Adults,Free Size,Chiffon Blend,Mid-Range,Full Length Garment,"Textured, Embroidered, Smooth lining",Female,Navy Blue,Full sleeves,"casual, formal, party, religious events, wedding guest","rectangle, pear, apple, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark, ebony","cool, neutral, warm"
img_212.jpg,APRL_001,Royal Blue Embroidered Kaftan Dress,traditional,,Adults,L,Georgette Blend,Mid-Range,Dress,"Smooth fabric, intricate gold embroidery, beaded details",Female,"Royal Blue, Gold",Full sleeves,"Party, Wedding, Festive, Formal, Evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_213.jpg,APRL_001,Women's V-Neck Sweater,casual,casual,Adults,M,Sweater Knit,Mid-Range,Top wear,"Smooth knit, Ribbed cuffs and hem",Female,Burgundy,Full sleeves,"casual, daily wear, work, semi-formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, olive, tan, dark","cool, neutral, warm"
img_214.jpg,APRL_001,Embroidered Kaftan Dress,studio shot,,Adults,L,Synthetic Blend,Mid-Range,Dress,"Smooth fabric, Intricate embroidery",Female,"Black, Gold","Full sleeves, Flared","Party, Formal, Wedding, Cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_215.jpg,APRL_001,Men's Brocade Nehru Jacket,traditional,N/A,Adults,L,Brocade Blend,Mid-Range,Top wear,"Woven, patterned, textured feel",Male,"Navy Blue, Gold, White",Sleeveless,"casual, party, wedding, formal, seasonal, festive","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","dark, tan, olive, fair","warm, neutral, cool"
img_216.jpg,APRL_001,Women's Leggings,plain,N/A,Adults,N/A,Cotton Blend,Mid-Range,Bottom wear,"Smooth fabric, Stretchable",Female,Orange,N/A,"casual, everyday, ethnic","hourglass, pear, apple, inverted triangle, rectangle",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral"
img_217.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,Free Size,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,"Royal Blue, Gold, White","Full sleeves, Bell cuffs","party, wedding, festive, formal","hourglass, pear, apple, rectangle","oval, round, square, heart","fair, light, olive, tan","cool, neutral, warm"
img_218.jpg,APRL_001,Women's Embroidered Abaya,traditional,,Adults,L,"Crepe, Polyester Blend",Mid-Range,Top wear,"Smooth fabric, Floral embroidery",Female,Black,"Full sleeves, Bell sleeves","casual, formal, religious, festive, special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_219.jpg,APRL_001,Sequin Embellished Lehenga Choli,traditional,traditional,Adults,M,"Net, Velvet",Mid-Range,"Top wear, Bottom wear","Sequined, Sheer, Velvet",Female,Black,Sleeveless,"Wedding, Party, Festive, Engagement","hourglass, pear, rectangle, inverted triangle","oval, round, heart","tan, olive, dark, fair, light","warm, neutral, cool"
img_220.jpg,APRL_003,Men's Corduroy Pants,casual,Adults,M,Corduroy,Mid-Range,Bottom wear,Ribbed,Male,Brown,N/A,"casual, smart casual, everyday, fall, winter","rectangle, inverted triangle, apple, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_221.jpg,APRL_001,Men's Jodhpuri Suit,original,N/A,Adults,N/A,Brocade Silk Blend & Cotton Blend,Mid-Range to High-Range,Suit (Top wear & Bottom wear),"Structured, self-patterned brocade (jacket); smooth (trousers)",Male,"Jacket: Light Beige/Blush with self-pattern; Trousers: White",Full sleeves,"Wedding, party, festive, formal, traditional","rectangle, inverted triangle, pear, hourglass","oval, round, square, rectangular","fair, light, tan, olive, dark","warm, neutral"
img_222.jpg,APRL_001,Men's Art Silk Kurta,traditional,N/A,Adults,M,Art Silk,Mid-Range,Top wear,"Smooth fabric, Striped pattern on yoke",Male,Coral Orange,Full sleeves,"casual, party, wedding, festive","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","fair, light, tan, olive","warm, neutral"
img_223.jpg,APRL_001,Padded Hooded Jacket,"casual outerwear, winter jacket",,Adults,L,Polyester,Mid-Range,Top wear,"Padded, Quilted",Male,"Dark Green, Olive Green",Full sleeves,"casual, winter wear, outdoor, travel","rectangle, pear, inverted triangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_224.jpg,APRL_001,Men's Kaftan,modest,,Adults,L,Cotton Blend,Mid-Range,Full Body Wear,Smooth fabric,Male,Light Beige,Full sleeves,"casual, loungewear, daily wear, religious","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark",warm,neutral
img_225.jpg,APRL_001,Women's Embellished Abaya,traditional,,Adults,,Georgette, Sequins,Mid-Range,Full dress,"Smooth fabric, Flowy, Sequined, Embellished",Female,"White, Pink",Full sleeves,"casual, party, festive, religious events","rectangle, pear, apple, hourglass","oval, round, square, heart","fair, light, tan, olive","cool, neutral"
img_226.jpg,APRL_001,Women's Salwar Kameez Suit,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, intricate embroidery, floral print, lace details",Female,Pink,Full sleeves,"casual, party, wedding, formal, festive","hourglass, pear, apple, rectangle, inverted triangle","oval, round, heart","fair, light, tan, olive","cool, neutral"
img_227.jpg,APRL_2001D,Women's Embroidered Palazzo Suit,traditional,Adults,M,Georgette,Mid-Range,Full Suit,"Embroidered, Smooth fabric",Female,Magenta,3/4 sleeves,"party, wedding, festive, formal","pear, rectangle, inverted triangle, apple","oval, round, square, heart","fair, light, tan, olive, dark, ebony","neutral, cool, warm"
img_228.jpg,APRL_003,Women's Embroidered Patiala Suit,ethnic_suit_image,placeholder_url_for_image,Adult,M,Georgette Blend,"Mid-Range","Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate embroidery",Female,"Black, Gold",3/4 sleeves,"party, wedding, festive, formal, ethnic","hourglass, pear, apple, rectangle, inverted triangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_229.jpg,APRL_003,Anarkali Gown,traditional,N/A,Adults,L,Net,Mid-Range,Gown,"Embroidered, Sheer",Female,Lime Green,Three-quarter sleeves,"festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","warm, neutral"
img_230.jpg,APRL_001,Women's Kurta Sharara Set with Dupatta,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear, Bottom wear, Dupatta,"Smooth fabric, Leheriya print",Female,"Pink, Coral, Yellow, Grey",3/4th sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","warm, neutral"
img_231.jpg,APRL_001,Embellished Kaftan,traditional,image_url_placeholder,Adults,Free Size,Georgette,Mid-Range,One-piece,"Smooth fabric, Heavy embroidery, Flowy",Female,Royal Blue,Batwing sleeves,"casual, party, festive, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_232.jpg,APRL_003,Women's Kaftan Dress,traditional,,Adults,L,Chiffon Blend,Mid-Range,Full-length dress,"Smooth fabric, Sheer, Embroidered",Female,"Black, Gold",Full sleeves,"party, wedding, formal, festive, evening","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_233.jpg,APRL_001,Embroidered Kaftan Gown,"traditional, formal",,Adults,M,Georgette Blend,High-Range,One-piece garment,"Smooth fabric, Intricate embroidery, Beading",Female,"Green, Silver, Gold",Strapless,"party, wedding, formal, festive, evening","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","tan, olive, fair, light","warm, neutral, cool"
img_234.jpg,APRL_001,Embroidered Kaftan Abaya,kaftan_abaya,,Adult,Free size,Georgette Blend,Mid-Range,Full-length dress,"Smooth fabric, Embroidered",Female,"Black, White, Gold","Long sleeves, Kimono sleeves","party, wedding, formal, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_235.jpg,APRL_001,Embroidered Kaftan Dress,traditional,N/A,Adults,L,Georgette,High-Range,Dress,"Smooth fabric, Intricate Embroidery, Embellished",Female,"White, Gold",Full sleeves,"party, wedding, formal, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_236.jpg,APRL_001,High-Neck Sleeveless Crop Top,casual_outfit_full_shot,provided_image_url_for_analysis,Adult,S,Cotton Blend,Low-Range,Top wear,Smooth fabric,Female,White,Sleeveless,"casual, sport, activewear","rectangle, hourglass",N/A,"fair, light, olive, tan, dark, ebony","warm, neutral, cool"
APRL_002,High-Waist Ankle-Length Leggings,casual_outfit_full_shot,provided_image_url_for_analysis,Adult,M,Polyester Blend,Low-Range,Bottom wear,Smooth fabric,Female,Black,N/A,"casual, sport, activewear","rectangle, hourglass, pear, apple, inverted triangle",N/A,"fair, light, olive, tan, dark, ebony","warm, neutral, cool"
APRL_003,Solid Black Fanny Pack,casual_outfit_full_shot,provided_image_url_for_analysis,Adult,N/A,Synthetic,Low-Range,Accessory,Smooth fabric,Unisex,Black,N/A,"casual, travel, street style","rectangle, hourglass, pear, apple, inverted triangle",N/A,"fair, light, olive, tan, dark, ebony","warm, neutral, cool"
APRL_004,Oval/Rectangular Sunglasses,casual_outfit_full_shot,provided_image_url_for_analysis,Adult,N/A,Plastic/Polycarbonate,Low-Range,Accessory,Smooth,Female,Dark,N/A,"casual, outdoor, travel","N/A","oval, round, heart","fair, light, olive, tan, dark, ebony","warm, neutral, cool"
APRL_005,Chunky White Sneakers,casual_outfit_full_shot,provided_image_url_for_analysis,Adult,N/A,Synthetic,Mid-Range,Footwear,Mixed,Female,"White, Pastel Accents",N/A,"casual, sport, activewear, street style",N/A,N/A,"fair, light, olive, tan, dark, ebony","warm, neutral, cool"
img_237.jpg,APRL_001,Women's Embroidered Caftan Dress,traditional,,Adults,Free size,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Intricate gold embroidery",Female,"Purple, Gold, White",Full sleeves,"formal, party, wedding, festive, cultural","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_238.jpg,APRL_001_NJ,Men's Nehru Jacket,traditional,N/A,Adults,N/A,Silk Blend,Mid-Range,Top wear,"Smooth fabric, subtle sheen",Male,Black,Sleeveless,"casual, party, wedding, formal, seasonal, festive","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light","warm, neutral, cool"
APRL_001_K,Men's Kurta,traditional,N/A,Adults,N/A,Cotton Blend,Mid-Range,Top wear,"Textured fabric, self-design",Male,White,Full sleeves,"casual, party, wedding, formal, seasonal, festive","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light","warm, neutral, cool"
APRL_001_BP,Men's Pajama/Churidar,basic,N/A,Adults,N/A,Cotton Blend,Mid-Range,Bottom wear,Smooth fabric,Male,Black,N/A,"casual, party, wedding, formal, seasonal, festive","rectangle, inverted triangle, apple, pear",N/A,"dark, tan, olive, fair, light","warm, neutral, cool"
img_239.jpg,APRL_001,Saree Blouse,woman wearing maroon sleeveless blouse,N/A,Adults,N/A,Raw Silk Blend,Mid-Range,Top wear,"Smooth fabric, Subtle sheen, Slubby texture",Female,Maroon,Sleeveless,"casual, party, wedding, formal, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_240.jpg,APRL_001,Embellished Kaftan Abaya Set,Modern Kaftan Abaya,Provided image,Adults,M,Polyester Blend,Mid-Range,Full-length dress,"Smooth fabric, Metallic stripes, Tassels, Embroidery",Female,"Navy Blue, Gold",Wide sleeves,"Party, Wedding, Formal, Festive, Seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","fair, light, olive, tan","warm, neutral, cool"
img_241.jpg,APRL_001,Embroidered Kaftan Abaya,"Full image, crops",,Adults,Free size,Polyester Blend,Mid-Range,Full-body garment,"Smooth fabric, Embroidery",Female,"Black, White",Full sleeves (Batwing style),"casual, formal, festive, religious","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_242.jpg,APRL_001,Traditional Paithani Lehenga Choli,traditional,,Adults,M,Silk Blend,High-Range,Ensemble,"Smooth, Embroidered, Textured border",Female,"Green, Red, Gold, Multi-color",Half sleeves,"wedding, festive, party, ceremonial","hourglass, pear, inverted triangle, rectangle, apple","oval, round, heart, square","tan, olive, fair, light","warm, neutral"
img_243.jpg,APRL_003,Men's Pleated Dress Trousers,formal,,Adults,L,Polyester Blend,Mid-Range,Bottom wear,"Smooth fabric, Pleated",Male,Dark Olive Green,N/A,"formal, business casual, party, wedding, seasonal",rectangle, inverted triangle, apple, pear,oval, rectangular, square,ebony, dark, tan, olive, fair, light,warm, neutral, cool
img_244.jpg,APRL_003,Men's Jodhpuri Suit,traditional,,Adults,L,Silk Blend,Mid-Range,Top wear,"Ornate pattern, Smooth fabric",Male,"Maroon, Cream, White",Full sleeves,"wedding, party, formal, festive, traditional","rectangle, inverted triangle, apple","oval, round, square, rectangular","fair, light, tan, olive","warm, neutral"
img_245.jpg,APRL_001,Men's Kurta,traditional,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Striped textured yoke",Male,Black,Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light",neutral
img_246.jpg,APRL_001,Men's Casual Shirt,product shot,N/A,Adults,M,Cotton Blend,Mid-Range,Top wear,"Textured, Woven",Male,Light Green,"Full sleeves, Rolled up","casual, semi-formal, daily wear","rectangle, inverted triangle, apple","oval, round, square","fair, light, olive, tan","warm, neutral, cool"
img_247.jpg,APRL_003,Men's Thobe,traditional,https://example.com/thobe_grey.jpg,Adults,L,Cotton Blend,Mid-Range,Full wear,"Smooth fabric",Male,Grey,3/4 sleeves,"casual, prayer, cultural events, festive, religious","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_248.jpg,APRL_001,Kaftan Abaya,Full length shot of a woman in a navy blue Kaftan Abaya with a cream hijab,Provided image,Adults,Free Size,Crepe,Mid-Range,Full-length dress,"Smooth fabric, Flowing",Female,Navy Blue,"Full sleeves, Batwing sleeves","Casual, Formal, Religious gathering, Special Occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_249.jpg,APRL_003,Embroidered Salwar Kameez Suit,traditional,,Adults,M,Cotton Blend,Mid-Range,Full suit,"Smooth fabric, Intricate Embroidery",Female,Teal,Full sleeves,"casual, party, wedding, formal, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_250.jpg,D.NO-2001 C,Sharara Suit,traditional,,Adults,L,Georgette Blend,Mid-Range,Suit Set,"Smooth fabric, Intricate embroidery",Female,Teal,Full sleeves,"party, wedding, festive, formal","pear, rectangle, hourglass","oval, round, square","tan, olive, fair, light","cool, neutral"
img_252.jpg,APRL_001,Anarkali Gown,https://oaidalleapiprod.blob.core.windows.net/private/org-q0X3WJ74u4dM4x0jH7gM2S1S/user-Wl9U87f4uV3lD9uB6pQY9y4D/img-uU8372Ld987t7j1h9H3pA5C1.png?st=2024-06-03T16%3A36%3A38Z&se=2024-06-03T18%3A36%3A38Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6ee04d88-d657-415e-8edb-ad53e4b7067d&sktid=a48cca56-e6da-484e-a814-9c2184975697&skt=2024-06-03T16%3A35%3A20Z&ske=2024-06-03T17%3A35%3A20Z&sks=b&skv=2021-08-06&sig=vj2%2B4dD60M4hHwOqX/7jP33e/GvXzYg6s39iYjD9f1Y%3D,https://oaidalleapiprod.blob.core.windows.net/private/org-q0X3WJ74u4dM4x0jH7gM2S1S/user-Wl9U87f4uV3lD9uB6pQY9y4D/img-uU8372Ld987t7j1h9H3pA5C1.png?st=2024-06-03T16%3A36%3A38Z&se=2024-06-03T18%3A36%3A38Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6ee04d88-d657-415e-8edb-ad53e4b7067d&sktid=a48cca56-e6da-484e-a814-9c2184975697&skt=2024-06-03T16%3A35%3A20Z&ske=2024-06-03T17%3A35%3A20Z&sks=b&skv=2021-08-06&sig=vj2%2B4dD60M4hHwOqX/7jP33e/GvXzYg6s39iYjD9f1Y%3D,Adults,L,Georgette Blend with Embroidery,High-Range,Full Gown,"Embroidered, Flowing, Embellished",Female,"Dark Green, Lime Green, Gold",Full sleeves,"Wedding, Party, Festive, Formal","pear, rectangle, hourglass, inverted triangle","oval, round, square","olive, tan, dark, fair, light","warm, neutral"
img_253.jpg,APRL_001,Women's Floral Print Sharara Suit Set,Original Image,N/A,Adult,Medium,Rayon Blend,Mid-Range,"Set (Top wear, Bottom wear, Dupatta)","Smooth fabric, Floral Print, Slightly lustrous",Female,"Yellow, Pink, Blue, Multi-color Floral Print","3/4 sleeves","Casual, Festive, Party, Ethnic Wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_254.jpg,APRL_003,Women's Embroidered Kaftan Dress,traditional,N/A,Adults,Free Size,Chiffon,Mid-Range,Dress,"Flowy, Sheer, Embroidered",Female,Purple,"Kaftan sleeves, Full sleeves","formal, party, wedding, evening wear, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_255.jpg,APRL_001,Embroidered Kaftan Dress,kaftan dress,,Adults,M,Chiffon Blend,High-Range,Dress,"Smooth fabric, Heavy embroidery, Beading",Female,"Yellow, Multi-color embroidery",Full sleeves,"party, wedding, formal, festive, traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_256.jpg,APRL_003,Embellished Strapless Gown,formal,,Adults,Medium,"Georgette, Embellished",High-End,One-piece dress,"Smooth fabric, Intricate embroidery, Sequin, Beadwork",Female,"Red, Silver, Gold, Blue",Strapless,"formal, party, wedding, evening wear, festive","hourglass, rectangle, pear","oval, round, square, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_257.jpg,APRL_001,Women's Kaftan Gown,traditional,N/A,Adults,L,"Georgette, Embroidery",Mid-Range,Full outfit,"Flowing, Embellished, Embroidered",Female,"Maroon, Gold",Cape sleeves,"party, wedding, festive, formal","rectangle, apple, pear, inverted triangle","oval, round, heart","tan, olive, dark","warm, neutral"
img_258.jpg,APRL_003,Women's Embroidered Kaftan Gown,traditional,,Adults,M,Georgette Blend,Mid-Range,Gown,"Smooth fabric, Intricate embroidery, Flowy",Female,"Pink, Gold, White",Full sleeves,"party, wedding, festival, ethnic events, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_259.jpg,APRL_001,Women's Graphic Print T-shirt,casual,Adults,Unspecified,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Graphic print",Female,"Brown, Beige, Off-white, Dark Grey/Brown",Short sleeves,"casual, everyday, street style","rectangle, pear, apple","oval, round, rectangular","tan, olive, dark, fair, light","warm, neutral"
img_260.jpg,APRL_001,Embroidered Kaftan Dress,traditional,,Adults,L,Georgette,High-End,Dress,"Smooth fabric, Heavy Embroidery",Female,"Royal Blue, Gold",Full sleeves,"party, wedding, formal, festive, traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_261.jpg,APRL_001,Men's Sherwani Set,traditional,traditional,Adults,M,Silk Blend,High-Range,"Top wear, Bottom wear","Textured geometric pattern, Smooth fabric",Male,"Light Pink, Cream",Full sleeves,"wedding, party, formal, festive","rectangle, inverted triangle, apple","oval, round, square, rectangular","fair, light, tan, olive","neutral, warm"
img_262.jpg,APRL_001,Women's Ethnic Kurta Set,ethnic wear,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Printed (Dupatta), Lace/Embroidery (borders)",Female,"Olive Green, Cream",Sleeveless,"casual, festive, semi-formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart, diamond","tan, olive, fair, light","warm, neutral"
img_263.jpg,APRL_001,Embroidered Kaftan Dress,Kaftan_Green_Gold_Embroidered,,Adults,Free Size,"Chiffon Blend, Metallic Embroidery",Mid-Range,Dress,"Smooth fabric, Embroidered, Flowy",Female,"Green, Gold",Long sleeves,"Casual, Party, Wedding, Formal, Seasonal, Ethnic Events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral"
img_264.jpg,APRL_003,Moroccan Kaftan Dress,traditional,N/A,Adults,M,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,"Light Blue, Gold",Full sleeves,"formal, party, wedding, cultural events, holiday","hourglass, pear, rectangle, inverted triangle, apple","oval, round, square, heart, rectangular","fair, light, tan, olive, dark","neutral, cool, warm"
img_265.jpg,APRL_001,Women's Floral Embroidered Lehenga Choli,traditional,,Adults,L,"Georgette Blend, Art Silk",Mid-Range,"Top wear, Bottom wear","Embellished, Floral print, Smooth fabric",Female,"Green, Pink, Gold",Sleeveless,"wedding, party, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_266.jpg,APRL_001,Men's Athletic Track Pants,original,,Adults,L,Polyester,Mid-Range,Bottom wear,"Smooth fabric, Color-block panels",Male,Dark Grey,,casual, sports, gym, lounging,"rectangle, inverted triangle, apple, pear","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_268.jpg,APRL_001,Men's Chikankari Kurta Set,traditional,N/A,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Embroidered, Textured fabric",Male,White,Full sleeves,"casual, party, wedding, festive, formal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, rectangular, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_269.jpg,APRL_003,Mens Kurta,traditional,,Adults,L,Cotton Blend,Mid-Range,Top wear,"Textured fabric, Geometric pattern",Male,Beige,Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle, apple","oval, round, square","tan, olive, fair, light","warm, neutral"
img_270.jpg,APRL_001,Men's Solid Long Tunic/Thobe,traditional,N/A,Adults,L,"Cotton blend, Linen blend",Mid-Range,Top wear,"Plain, Smooth fabric",Male,Black,Short sleeves,"Casual, Daily wear, Cultural, Religious, Festive","rectangle, apple, pear, inverted triangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_271.jpg,APRL_001,Embroidered Abaya,traditional,Adults,Free Size,Crepe Blend,Mid-Range,"Outerwear, Dress","Smooth fabric, Floral Embroidery",Female,"Burgundy, Black","Full sleeves, Batwing","casual, formal, religious, festive, daily wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_272.jpg,APRL_003,Women's Embroidered Salwar Suit,traditional,image_from_prompt.jpg,Adults,M,"Lawn Cotton, Organza",Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate floral embroidery, Sheer (sleeves, dupatta), Lace trim",Female,"Lavender, Pink, Green, Peach (embroidery)","Full sleeves, Sheer sleeves","festive, semi-formal, party, wedding","hourglass, pear, rectangle, inverted triangle","oval, square, heart, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral"
img_273.jpg,APRL_001,Embroidered Palazzo Suit with Dupatta,original,Image provided,Adults,M,Cotton Blend,Mid-Range,"Smooth fabric, Embroidered, Printed pattern, Ruffled fabric",Female,"Brown, Blue, Green, Purple",Full sleeves,"casual, party, festive, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_274.jpg,APRL_001,Women's Anarkali Dhoti Suit Set,traditional,Adults,L,Art Silk Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Intricate Embroidery, Sheer",Female,"Black, Gold",Full sleeves,"party, wedding, festive, formal, seasonal","hourglass, apple, rectangle, inverted triangle","oval, round, heart","dark, tan, olive, fair, light","warm, neutral"
img_275.jpg,APRL_003,Women's Anarkali Suit,traditional,,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Textured fabric, Embroidery, Printed pattern, Flowy",Female,Mauve,Full sleeves,"casual, party, wedding, formal, seasonal","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart, diamond","dark, tan, olive, fair, light","cool, neutral"
img_276.jpg,APRL_003,Palazzo Suit,traditional,,Adults,M,Cotton Blend,Mid-Range,"Full Set (Kurta, Palazzo, Dupatta)","Smooth fabric, Intricate Embroidery",Female,"Cream/Off-white, Black embroidery",Full sleeves,"Festive, Wedding, Party, Formal, Cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_277.jpg,APRL_001,Women's Kaftan Dress,Kaftan,,Adults,Free Size,Georgette,Mid-Range,Dress,"Smooth fabric, Intricate Embroidery",Female,Aqua Blue,"Batwing, Full sleeves","casual, party, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","tan, olive, fair, light, dark","neutral, cool, warm"
img_278.jpg,APRL_001,Women's Floral Maxi Dress,product_image,Adults,Standard,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Floral print, Ruffled hem, Tie waist",Female,"Yellow, White",Full sleeves,"casual, party, summer, spring, beach, modest wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
